ID,Age,Education,Marital_Status,Income,Total_Spending,Total_Purchases,Recency,Total_Campaign_Accepted,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Customer_Segment
5524,57,Graduation,Single,58138.0,1617,22,58,0,8,10,4,High-Value & Highly Engaged Customers
2174,60,Graduation,Single,46344.0,27,4,38,0,1,1,2,Regular / Moderate-Value Customers
4141,49,Graduation,Together,71613.0,776,20,26,0,8,2,10,High-Value & Highly Engaged Customers
6182,30,Graduation,Together,26646.0,53,6,26,0,2,0,4,Low-Value / Low-Engagement Customers
5324,33,PhD,Married,58293.0,422,14,94,0,5,3,6,Regular / Moderate-Value Customers
7446,47,Master,Together,62513.0,716,20,16,0,6,4,10,Regular / Moderate-Value Customers
965,43,Graduation,Divorced,55635.0,590,17,34,0,7,3,7,High-Value & Highly Engaged Customers
6177,29,PhD,Married,33454.0,169,8,32,0,4,0,4,Low-Value / Low-Engagement Customers
4855,40,PhD,Together,30351.0,46,5,19,0,3,0,2,Low-Value / Low-Engagement Customers
5899,64,PhD,Together,5648.0,49,1,68,1,1,0,0,Regular / Moderate-Value Customers
1994,31,Graduation,Married,51373.0,19,3,11,0,1,0,2,Low-Value / Low-Engagement Customers
387,38,Basic,Married,7500.0,61,5,59,0,2,0,3,Low-Value / Low-Engagement Customers
2125,55,Graduation,Divorced,63033.0,1102,15,82,0,3,4,8,High-Value & Highly Engaged Customers
8180,62,Master,Divorced,59354.0,310,12,53,0,6,1,5,Regular / Moderate-Value Customers
2569,27,Graduation,Married,17323.0,46,4,38,0,1,0,3,Low-Value / Low-Engagement Customers
2114,68,PhD,Single,82800.0,1315,25,23,2,7,6,12,High-Value & Highly Engaged Customers
9736,34,Graduation,Married,41850.0,96,6,51,0,3,0,3,Regular / Moderate-Value Customers
4939,68,Graduation,Together,37760.0,317,11,20,0,4,1,6,Low-Value / Low-Engagement Customers
6565,65,Master,Married,76995.0,1782,24,91,1,11,4,9,High-Value & Highly Engaged Customers
2278,29,2n Cycle,Single,33812.0,133,6,86,0,2,1,3,Low-Value / Low-Engagement Customers
9360,32,Graduation,Married,37040.0,316,11,41,0,4,2,5,Low-Value / Low-Engagement Customers
5376,35,Graduation,Married,2447.0,1730,28,42,0,0,28,0,High-Value & Highly Engaged Customers
1993,65,PhD,Married,58607.0,972,14,63,1,2,3,9,Regular / Moderate-Value Customers
